time_point,date_time,temp_F,RH
507,6/5/18 17:03,89.053,48.462
508,6/5/18 17:18,89.006,48.001
509,6/5/18 17:33,88.961,47.9
510,6/5/18 17:48,88.961,48.553
511,6/5/18 18:03,88.961,48.716
512,6/5/18 18:18,88.869,48.579
513,6/5/18 18:33,88.914,48.517
514,6/5/18 18:48,88.869,49.068
515,6/5/18 19:03,88.822,49.097
516,6/5/18 19:18,88.822,49.293
517,6/5/18 19:33,88.822,49.065
518,6/5/18 19:48,88.822,50.137
519,6/5/18 20:03,88.777,50.523
520,6/5/18 20:18,88.777,51.041
521,6/5/18 20:33,88.594,48.756
522,6/5/18 20:48,88.822,49.683
523,6/5/18 21:03,88.822,49.878
524,6/5/18 21:18,88.686,46.408
525,6/5/18 21:33,88.822,48.576
526,6/5/18 21:48,88.822,49.488
527,6/5/18 22:03,88.777,49.842
528,6/5/18 22:18,88.777,49.972
529,6/5/18 22:33,88.731,50.811
530,6/5/18 22:48,88.777,51.106
531,6/5/18 23:03,88.731,51.103
532,6/5/18 23:18,88.777,51.494
533,6/5/18 23:33,88.731,51.038
534,6/5/18 23:48,88.731,50.811
535,6/6/18 0:03,88.731,50.228
536,6/6/18 0:18,88.731,50.325
537,6/6/18 0:33,88.731,50.909
538,6/6/18 0:48,88.686,50.322
539,6/6/18 1:03,88.686,50.581
540,6/6/18 1:18,88.686,50.127
541,6/6/18 1:33,88.686,50.841
542,6/6/18 1:48,88.639,50.254
543,6/6/18 2:03,88.639,50.675
544,6/6/18 2:18,88.639,50.675
545,6/6/18 2:33,88.639,50.189
546,6/6/18 2:48,88.639,50.481
547,6/6/18 3:03,88.639,50.513
548,6/6/18 3:18,88.639,51.031
549,6/6/18 3:33,88.639,50.805
550,6/6/18 3:48,88.594,50.899
551,6/6/18 4:03,88.594,51.093
552,6/6/18 4:18,88.594,51.319
553,6/6/18 4:33,88.639,51.096
554,6/6/18 4:48,88.594,51.287
555,6/6/18 5:03,88.594,51.481
556,6/6/18 5:18,88.594,51.513
557,6/6/18 5:33,88.594,51.384
558,6/6/18 5:48,88.594,51.9
559,6/6/18 6:03,88.547,51.542
560,6/6/18 6:18,88.547,51.542
561,6/6/18 6:33,88.547,51.413
562,6/6/18 6:48,88.547,51.057
563,6/6/18 7:03,88.547,51.251
564,6/6/18 7:18,88.547,51.057
565,6/6/18 7:33,88.547,51.606
566,6/6/18 7:48,88.547,51.768
567,6/6/18 8:03,88.547,51.089
568,6/6/18 8:18,88.547,51.154
569,6/6/18 8:33,88.547,51.477
570,6/6/18 8:48,88.594,51.771
571,6/6/18 9:03,88.594,52.513
572,6/6/18 9:18,88.594,51.836
573,6/6/18 9:33,88.639,51.581
574,6/6/18 9:48,88.639,51.742
575,6/6/18 10:03,88.686,51.746
576,6/6/18 10:18,88.686,52.036
577,6/6/18 10:33,88.686,51.875
578,6/6/18 10:48,88.731,52.007
579,6/6/18 11:03,88.686,50.16
580,6/6/18 11:18,88.731,51.62
581,6/6/18 11:33,88.822,52.401
582,6/6/18 11:48,88.822,51.012
583,6/6/18 12:03,88.777,50.588
584,6/6/18 12:18,88.777,50.296
585,6/6/18 12:33,88.777,49.094
586,6/6/18 12:48,88.731,47.688
587,6/6/18 13:03,88.731,46.87
588,6/6/18 13:18,88.731,45.656
589,6/6/18 13:33,88.777,45.33
590,6/6/18 13:48,88.777,44.076
591,6/6/18 14:03,88.777,43.58
592,6/6/18 14:18,88.777,43.845
593,6/6/18 14:33,89.053,43.862
594,6/6/18 14:48,86.767,41.169
